"","CustomerID","CustomerType","Registrationdate","Sex","Age","fallbonus","Income"
"1",1,1,2016-07-24,0,67,1,1
"2",2,1,2016-10-07,0,14,1,2
"3",3,1,2017-09-30,0,22,0,2
"4",4,1,2018-04-06,0,8,0,3
"5",5,4,2016-12-07,0,10,1,2
"6",6,2,2017-09-21,0,31,0,1
"7",7,3,2017-07-08,1,42,0,3
"8",8,3,2018-03-08,0,17,0,3
"9",9,1,2016-09-23,1,79,1,1
"10",10,1,2017-02-24,1,44,0,2
"11",11,1,2016-07-13,0,29,1,2
"12",12,4,2016-10-13,1,24,0,3
"13",13,3,2017-02-24,0,31,1,2
"14",14,1,2017-09-04,1,23,0,3
"15",15,2,2016-11-14,0,33,0,1
"16",16,2,2018-04-29,1,30,0,1
"17",17,2,2018-04-01,1,17,1,3
"18",18,4,2017-07-20,0,19,0,3
"19",19,1,2018-02-23,0,32,0,1
"20",20,4,2018-01-27,0,27,0,1
"21",21,1,2016-09-29,0,9,0,1
"22",22,2,2018-02-24,0,20,0,3
"23",23,1,2018-02-15,1,55,0,1
"24",24,1,2018-02-22,0,39,0,3
"25",25,4,2018-03-23,0,53,0,2
"26",26,3,2018-03-15,1,26,1,1
"27",27,2,2018-03-19,0,37,1,2
"28",28,2,2018-01-11,1,18,0,1
"29",29,1,2018-03-23,0,47,0,1
"30",30,2,2018-02-08,0,44,0,3
"31",31,4,2018-02-03,1,57,0,1
"32",32,3,2017-04-19,0,48,1,3
"33",33,3,2016-11-23,0,15,0,1
"34",34,2,2016-08-28,0,12,0,3
"35",35,2,2017-03-27,0,7,1,1
"36",36,4,2018-02-15,1,29,1,1
"37",37,4,2016-12-21,0,31,0,3
"38",38,4,2018-03-06,1,26,0,1
"39",39,4,2018-04-09,1,25,0,1
"40",40,4,2016-10-25,0,6,1,2
"41",41,2,2018-02-18,1,28,0,2
"42",42,4,2018-03-31,1,25,0,1
"43",43,4,2017-11-07,0,27,0,1
"44",44,2,2017-11-28,0,35,0,1
"45",45,2,2018-03-20,1,10,0,3
"46",46,4,2018-03-03,0,42,1,2
"47",47,1,2017-06-05,0,10,0,2
"48",48,2,2018-03-11,0,16,1,3
"49",49,2,2018-03-24,0,30,0,1
"50",50,1,2017-11-28,1,50,0,1
"51",51,3,2016-12-02,0,35,1,2
"52",52,4,2018-02-27,0,35,0,2
"53",53,4,2018-02-27,0,23,0,3
"54",54,1,2016-11-15,0,31,0,1
"55",55,3,2017-03-21,1,25,0,2
"56",56,2,2018-01-21,1,66,1,2
"57",57,3,2018-03-22,0,30,0,3
"58",58,2,2017-08-22,1,27,0,2
"59",59,2,2016-11-21,0,30,0,3
"60",60,1,2018-02-25,1,35,1,3
"61",61,2,2018-04-19,0,16,0,1
"62",62,3,2018-03-22,0,22,0,3
"63",63,2,2016-08-04,0,20,0,1
"64",64,1,2016-08-16,0,12,0,3
"65",65,4,2018-03-21,0,17,1,2
"66",66,2,2018-03-23,1,7,0,2
"67",67,4,2018-02-16,0,33,1,1
"68",68,2,2018-03-23,0,37,0,1
"69",69,4,2017-04-12,0,50,0,1
"70",70,1,2017-12-28,0,29,1,2
"71",71,4,2016-09-13,0,34,0,3
"72",72,2,2016-08-05,1,46,1,1
"73",73,1,2018-03-24,0,21,0,3
"74",74,2,2017-07-22,1,17,0,3
"75",75,4,2018-01-16,0,31,0,1
"76",76,2,2017-04-11,0,45,1,3
"77",77,3,2016-11-17,0,38,0,1
"78",78,4,2017-02-02,1,53,0,3
"79",79,1,2017-02-15,1,16,0,3
"80",80,3,2018-04-28,0,19,0,3
