"","PlayID","Date","CustomerID","Experience","Pokestops","Gyms","Raids","Social","Pokemons","Distance","Duration"
"1",1,2018-05-02,4382,4145,22,6,0,0,28,4.452679667066,102.694821987931
"2",2,2018-05-02,771,3466,12,3,1,2,12,2.66022452975775,161.663588713
"3",3,2018-05-02,2495,3888,13,3,1,3,15,2.87552795971737,35.1229395488494
"4",4,2018-05-02,3611,3437,14,3,0,7,10,2.37035904081277,108.255805142056
"5",5,2018-05-02,1708,3612,17,6,0,0,29,1.1158811751155,15.8616283654854
"6",6,2018-05-02,2227,4341,12,9,0,2,16,7.41453302031903,29.1887366584545
"7",7,2018-05-02,4773,4401,21,10,0,1,17,3.00894193989653,21.6169653258268
"8",8,2018-05-02,2533,4091,17,9,0,0,25,1.91346835744511,26.9244908265628
"9",9,2018-05-02,1873,5915,18,10,0,0,58,1.1456848469886,48.1045698159848
"10",10,2018-05-02,3071,4663,20,12,0,0,23,1.12566895457415,13.1574735039558
"11",11,2018-05-02,1027,6815,10,8,4,1,7,1.64737665137677,102.907138496319
"12",12,2018-05-02,4385,4668,12,9,1,2,15,1.18122274459153,145.521906906617
"13",13,2018-05-02,2426,3293,16,9,0,0,11,1.43003140023856,74.061005032947
"14",14,2018-05-02,4628,3171,12,7,0,2,12,1.71104071790667,94.7923163937203
"15",15,2018-05-02,1638,4746,13,11,0,0,19,9.46396777830363,43.1913268027939
"16",16,2018-05-02,3556,6348,14,6,3,1,20,2.48138423702901,43.8454439342958
"17",17,2018-05-02,3602,3368,19,5,0,0,17,5.67529805217786,76.4782165662504
"18",18,2018-05-02,4759,5614,13,6,3,0,12,1.6414621041524,156.68759694476
"19",19,2018-05-02,71,4091,18,8,0,0,29,1.41299471687156,23.8510919682441
"20",20,2018-05-02,2479,5901,18,14,0,1,20,10.0114114124181,58.9559152038767
"21",21,2018-05-02,4257,5309,16,12,0,1,26,6.09114160343491,49.5815434152798
"22",22,2018-05-02,1199,4662,18,3,0,2,50,2.62067399913923,20.6970734807068
"23",23,2018-05-02,164,4466,12,7,1,0,23,3.16204471304659,36.5750954642887
"24",24,2018-05-02,1892,3181,13,7,0,1,13,2.81431664765161,136.722487254662
"25",25,2018-05-02,2986,3998,12,3,2,0,14,0.97830570790662,132.098237950354
"26",26,2018-05-02,2418,5078,14,6,2,1,11,4.27861766897027,29.4004327043425
"27",27,2018-05-02,3620,4620,12,8,1,3,10,3.19646237476365,113.210252926694
"28",28,2018-05-02,1834,5149,21,12,0,1,15,7.49043736408619,86.956679748626
"29",29,2018-05-02,3510,4958,22,10,0,0,33,2.07533434892563,33.1858373478108
"30",30,2018-05-02,3989,4085,19,8,0,1,13,6.84762119232296,68.1980301769352
"31",31,2018-05-02,2417,5167,14,6,2,2,15,1.17451848768272,90.1923216910886
"32",32,2018-05-02,2486,4042,20,6,0,1,14,9.42043517545939,53.9362134333355
"33",33,2018-05-02,3999,6035,11,4,4,0,12,0.845025532226495,72.605686479474
"34",34,2018-05-02,1133,4519,22,12,0,0,17,1.69037486454676,22.8615326824302
"35",35,2018-05-02,2150,5922,11,8,2,5,9,3.22134705521923,97.1388188539998
"36",36,2018-05-02,2322,5406,22,8,0,0,22,16.0629952345936,50.640873693698
"37",37,2018-05-02,3564,8256,13,6,5,0,25,1.55837127730474,83.8590561271031
"38",38,2018-05-02,935,5224,13,9,2,1,9,1.2402406850443,83.361072471632
"39",39,2018-05-02,322,4281,18,8,0,1,27,2.30769409400115,100.914409188558
"40",40,2018-05-02,3795,5165,11,8,2,1,15,0.650822133296428,118.797029932933
"41",41,2018-05-02,1243,4109,14,9,0,0,25,3.59267498251028,12.6618799410257
"42",42,2018-05-02,2228,5790,19,9,1,1,24,6.40414935671786,41.9847810637353
"43",43,2018-05-02,1646,9098,12,13,5,2,8,0.984218590660363,118.196432989649
"44",44,2018-05-02,3961,5200,19,10,0,0,42,1.4956234233842,17.1801412647982
"45",45,2018-05-02,248,4581,22,9,0,1,13,8.30534358332744,40.3004077695154
"46",46,2018-05-02,4195,5153,18,13,0,1,20,4.52997890436014,26.4724753433538
"47",47,2018-05-02,1241,4624,13,8,1,3,9,3.23960806381289,116.150665738566
"48",48,2018-05-02,3044,4138,9,5,2,1,8,0.877919949154392,114.065809693829
"49",49,2018-05-02,2518,5907,20,19,0,1,17,0.569532336851471,43.6277280628505
"50",50,2018-05-02,2147,2864,16,4,0,2,9,4.13784615549761,34.9260247982206
"51",51,2018-05-02,1077,3363,12,4,1,1,11,2.12868787233686,105.280057947427
"52",52,2018-05-02,1418,4607,22,7,0,0,24,9.0747569876141,69.2624001350065
"53",53,2018-05-02,278,3355,14,3,0,5,16,2.5534496214921,117.887237940695
"54",54,2018-05-02,2845,3588,21,6,0,0,23,1.88419673253136,58.5468786806923
"55",55,2018-05-02,1677,5562,14,9,2,0,13,4.11906705168733,28.1175180485641
"56",56,2018-05-02,1848,4557,14,6,1,2,15,5.07160007203007,35.9942370186168
"57",57,2018-05-02,58,3631,15,7,0,2,19,1.30698181932386,19.3662360362614
"58",58,2018-05-02,467,6178,18,7,2,1,24,4.78203631581727,29.9951693770953
"59",59,2018-05-02,3706,5388,18,4,2,2,16,4.88373973414166,54.4539920424749
"60",60,2018-05-02,4793,5114,12,5,1,7,15,3.64401444502051,71.4147885889672
"61",61,2018-05-02,330,1901,13,2,0,1,10,1.5090000726334,28.8129419601085
"62",62,2018-05-02,4684,5765,14,3,3,0,16,6.64711513376437,20.1324851579008
"63",63,2018-05-02,1809,5518,13,6,3,0,10,1.68076834878147,146.107491697575
