"","PlayID","Date","CustomerID","Experience","Pokestops","Gyms","Raids","Social","Pokemons","Distance","Duration"
"1",1,2018-09-02,3146,7093,11,12,3,0,20,1.42501184695229,74.3800991126383
"2",2,2018-09-02,4069,3683,11,6,1,1,10,2.32631724028501,153.420649416369
"3",3,2018-09-02,1512,5357,12,13,1,1,12,3.56627189337395,36.6933358237813
"4",4,2018-09-02,3549,4954,17,12,0,1,23,3.54423495986361,90.3148392984926
"5",5,2018-09-02,4798,4238,18,8,0,0,15,9.88451288779414,56.2412149572138
"6",6,2018-09-02,2348,6531,17,20,0,1,16,6.81175695021015,74.360720400473
"7",7,2018-09-02,3572,3438,16,5,0,1,9,9.88126770569257,35.4883476925803
"8",8,2018-09-02,252,5406,14,5,3,0,11,1.55637912389487,121.375847629086
"9",9,2018-09-02,3912,4565,17,9,0,0,34,2.14821801620264,33.6250523736082
"10",10,2018-09-02,2307,3977,12,6,1,3,7,2.26612536644498,108.038467927703
"11",11,2018-09-02,3510,4360,20,6,0,0,42,0.595625839160526,24.2990257053387
"12",12,2018-09-02,1625,4453,18,4,0,0,53,1.033371870713,12.2542272577538
"13",13,2018-09-02,227,9685,13,16,5,1,10,1.35218855420372,88.6113221260334
"14",14,2018-09-02,1300,3569,14,4,1,1,11,3.19123256260301,27.079413876716
"15",15,2018-09-02,2477,3319,17,7,0,0,9,6.19036451370597,69.3330540840853
"16",16,2018-09-02,2321,3952,21,3,0,2,32,3.02492411115004,31.7182356088897
"17",17,2018-09-02,4818,4857,11,6,0,13,8,1.0690711133247,67.315667937459
"18",18,2018-09-02,766,2827,17,3,0,1,21,1.2712791116341,35.7712112713093
"19",19,2018-09-02,1849,4264,20,11,0,0,17,2.14474582826217,82.7695664289542
"20",20,2018-09-02,3951,4208,12,8,1,1,13,1.57568262100804,91.7512003764534
"21",21,2018-09-02,4064,4555,12,8,1,2,17,1.05279274696469,62.3274287607795
"22",22,2018-09-02,2427,5620,22,11,1,1,15,3.7048642571158,72.3743519115497
"23",23,2018-09-02,32,4081,13,8,0,6,11,0.806543279331371,104.167498369834
"24",24,2018-09-02,1939,3562,11,9,0,3,6,3.12054079322349,91.9048857484773
"25",25,2018-09-02,4732,6642,19,13,1,0,37,2.41601489694128,47.8177654418705
"26",26,2018-09-02,86,3098,18,5,0,0,12,5.97757592537537,66.1151180941037
"27",27,2018-09-02,3182,3896,14,6,0,0,35,2.45599077657158,32.5960923251408
"28",28,2018-09-02,2727,3691,15,4,0,0,40,1.40981977167256,36.7834877006823
"29",29,2018-09-02,3443,4666,17,6,0,0,49,1.66385301854212,28.4487588719318
"30",30,2018-09-02,1748,5982,15,6,3,0,14,3.31819197867986,42.8646423883317
"31",31,2018-09-02,4574,3839,10,4,1,3,16,1.38542524966123,70.6029343662885
"32",32,2018-09-02,1106,4359,16,11,0,0,25,1.08807279600465,33.6393992143695
"33",33,2018-09-02,2823,5178,12,8,2,1,12,1.77658440327595,113.291144172385
"34",34,2018-09-02,728,4295,12,7,0,1,38,1.9476205644991,18.0930671807131
"35",35,2018-09-02,4633,3818,19,5,0,0,36,0.679543561583764,26.6040058883251
"36",36,2018-09-02,465,3611,12,6,1,2,7,0.60761946252557,99.2006915818983
"37",37,2018-09-02,4326,4650,11,7,2,1,8,1.00091847131677,87.0963395723598
"38",38,2018-09-02,3904,4948,15,8,0,1,45,1.483726781299,28.8651599997137
"39",39,2018-09-02,262,7554,10,3,6,0,7,1.03643939411034,96.844567267996
"40",40,2018-09-02,433,4699,19,10,0,0,15,9.99198784732501,112.335333545505
"41",41,2018-09-02,2063,4797,20,6,0,0,50,0.974603898428011,16.4360844397304
"42",42,2018-09-02,256,3365,15,2,1,2,8,4.14535653335397,34.877959676938
"43",43,2018-09-02,1419,3891,14,10,0,0,18,2.90708946319418,58.8319395973616
"44",44,2018-09-02,400,5154,14,5,2,1,16,4.54348490107555,51.1585009826647
"45",45,2018-09-02,46,3709,17,8,0,0,24,0.589084928893544,36.2817291915286
"46",46,2018-09-02,4922,3981,18,6,0,1,18,7.80997471685982,41.7089778702456
"47",47,2018-09-02,421,4389,16,8,0,1,34,0.887820900241232,20.5155289607996
"48",48,2018-09-02,1268,6113,15,19,0,0,27,2.12794305137759,21.7773412001659
"49",49,2018-09-02,4299,4583,26,7,0,1,31,1.33119650098336,42.9675963079369
"50",50,2018-09-02,2360,3862,18,6,0,2,10,8.61781832173785,52.2048000613622
"51",51,2018-09-02,3201,3119,12,6,0,4,9,0.689346808956378,65.0487704238523
"52",52,2018-09-02,4140,8196,12,4,6,0,12,1.95539087420458,163.591608160836
"53",53,2018-09-02,3146,6516,9,10,2,5,16,2.66250374626883,87.7839414684934
"54",54,2018-09-02,1580,5058,14,5,2,0,18,4.58183140772408,67.6150811547807
"55",55,2018-09-02,2477,4742,18,7,0,0,13,17.9150529552986,74.2131710053246
"56",56,2018-09-02,3788,3951,14,7,0,2,21,4.01063056883866,31.5110653549855
"57",57,2018-09-02,608,3526,20,5,0,1,16,5.26359584183455,43.6187774594894
"58",58,2018-09-02,4197,3340,19,3,0,0,34,0.904381890859499,21.4839835702328
"59",59,2018-09-02,828,5226,12,9,2,0,13,1.7644505290451,176.705956891887
"60",60,2018-09-02,3721,3484,18,7,0,1,16,1.8367126961974,30.7766581352321
"61",61,2018-09-02,56,2022,16,2,0,0,9,3.7219181119398,50.8313664956332
"62",62,2018-09-02,4798,4167,13,10,0,0,13,8.66765714682208,75.2218541450706
"63",63,2018-09-02,522,5383,20,13,0,0,23,6.32774299482801,67.6564089188162
"64",64,2018-09-02,256,5924,12,6,2,3,18,6.23863984342708,54.8548781355148
"65",65,2018-09-02,311,2949,14,4,0,3,9,3.9916456447158,46.9313240493648
"66",66,2018-09-02,4552,4430,14,8,0,0,22,10.3013679462224,38.1156877806555
"67",67,2018-09-02,1996,4269,17,8,0,0,16,10.1911473859204,64.6162572652522
"68",68,2018-09-02,3572,3193,13,6,0,0,17,4.93013851756795,35.0392312624093
"69",69,2018-09-02,3738,4405,14,13,0,3,7,1.54787401965793,73.4611356082348
"70",70,2018-09-02,2172,2574,15,2,0,1,18,3.23663907448767,60.1037261781513
"71",71,2018-09-02,1623,5023,13,4,2,4,15,0.226313061827736,143.977104314442
"72",72,2018-09-02,2054,7983,16,4,5,0,23,2.32737939094769,45.6140807880539
"73",73,2018-09-02,3441,3503,11,5,0,2,20,5.53497387952085,36.7690747358676
"74",74,2018-09-02,4065,4738,16,11,0,1,12,9.37960953014887,89.3396946234639
"75",75,2018-09-02,3995,4701,23,9,0,0,19,8.0146667181843,50.0917822391571
"76",76,2018-09-02,3819,2902,14,2,0,1,24,4.01628720286668,48.4652849033521
"77",77,2018-09-02,4267,5173,17,10,1,2,8,5.23264210451754,27.3230377975275
"78",78,2018-09-02,3874,4033,11,8,1,2,9,0.330012132819556,73.3649657839553
"79",79,2018-09-02,56,7993,19,7,4,1,21,3.92516981127622,32.6903110573372
"80",80,2018-09-02,4901,5395,14,16,0,0,13,8.4491006902947,70.6128943173202
"81",81,2018-09-02,4849,5779,15,10,1,7,11,0.788688411099806,135.325843705759
"82",82,2018-09-02,204,6201,16,12,0,1,53,1.50931961427554,30.1093315041145
"83",83,2018-09-02,3496,5672,15,9,1,7,11,1.72479104560201,171.878396509071
"84",84,2018-09-02,4326,3712,14,11,0,1,9,1.62198459445659,136.044146014815
"85",85,2018-09-02,46,3272,18,4,0,0,26,2.72454544620218,48.3729232403755
"86",86,2018-09-02,1508,3404,12,6,0,1,24,2.04268871560793,24.3179938985663
"87",87,2018-09-02,3515,6392,11,6,3,4,14,1.42490421789115,102.960606892959
"88",88,2018-09-02,2672,4280,19,7,0,1,26,4.29898958547605,111.292528103027
"89",89,2018-09-02,3512,3499,15,6,0,0,19,5.99096441294881,32.5096386553995
